 Procedimentos hospitalares do SUS - por local de internação - Brasil
Dias permanência por Unidade da Federação e Ano/mês processamento
Período:Jan/2018-Mar/2021
"Unidade da Federação";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"11 Rondônia";43639;48434;48101;47175;45849;45602;43583;49862;43865;45123;46239;44186;50647;44115;48556;48770;51333;45936;55548;50380;48667;51015;50519;44619;51058;41850;47055;38468;35116;34303;41409;40358;39378;34191;42284;35731;41959;32619;35584;1733126
"12 Acre";22117;15829;15649;19446;15859;19090;20078;20032;17772;18319;20423;12900;15896;14069;19586;15630;19526;19579;19345;19174;18538;19763;17326;18113;20410;20838;18806;14565;14464;14565;17629;17462;15650;19949;15758;17467;18173;19018;21284;700097
"13 Amazonas";77252;72787;78395;79680;84432;80689;82831;81814;84490;86094;80197;77161;88946;80411;88168;84585;89959;82590;88285;83332;88008;82501;82774;78204;86541;80711;82728;70606;76269;82377;80307;77159;83596;78900;84909;71389;78703;94794;91539;3204113
"14 Roraima";19751;19774;18126;18636;18456;19443;19370;18281;16463;21354;23120;19346;22204;20437;15494;18617;19788;20921;25560;25470;21444;22809;22443;25820;21030;22177;22364;17693;15480;15510;16913;18782;17353;19998;20462;19928;18253;22026;20872;781968
"15 Pará";159161;159598;164193;171709;172356;172665;172105;174450;173345;172197;168446;160635;163144;161252;165533;175468;176051;173401;147338;153858;168289;167245;168524;164520;162340;168985;163632;125536;128538;145127;143161;169613;153393;151530;156958;152462;152383;143891;126474;6249506
"16 Amapá";13074;15303;14489;14169;14947;16770;15651;19489;19848;20080;16494;17692;20383;16190;18262;17052;20307;16453;18743;21323;17434;17263;16570;16658;15801;15729;12248;9104;10026;11011;16503;16400;14070;12366;10880;16009;15052;16433;18382;624658
"17 Tocantins";31456;30431;33017;27526;29476;31992;29276;33763;29495;30315;27394;27705;32283;36956;39554;35583;39002;34779;37403;39692;45400;40770;35814;38832;40920;36460;40749;32196;34195;32472;33603;30158;30612;30856;1682;1729;1399;1303;3241;1169489
"21 Maranhão";174501;167690;179497;187007;183303;178794;175070;172674;169744;167117;168448;175482;179192;162497;174995;174395;181750;175858;179907;183588;179119;181502;176042;168099;174676;169663;169416;138277;145273;143474;153420;156153;158695;166055;158677;152440;157362;153202;162593;6575647
"22 Piauí";85241;81196;89680;89659;89282;88334;91358;92535;86843;88819;85129;87327;84633;81342;90523;88823;92323;90317;91011;91313;89700;90984;88988;88113;86415;84912;75579;60729;60796;66561;71724;75543;71877;79634;73026;75864;85216;73974;71361;3236684
"23 Ceará";227078;219191;240779;239420;241505;236330;239946;246006;225090;237379;224386;217648;242269;232308;238631;244135;255026;246750;248530;253337;251337;250358;235710;242187;241433;239470;230287;203290;195274;205844;206124;207866;204952;220804;217957;209671;213400;211243;218756;8961707
