 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês processamento
Período:Jan/2018-Mar/2021
"Unidade da Federação";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"11 Rondônia";7998345,94;8893683,69;8867793,32;8871408,50;8501601,67;8315107,81;8525499,78;9177611,46;7368996,38;8835095,43;8328186,64;8408512,77;9351705,82;8143007,97;8949741,77;9630553,15;9581970,31;7891114,05;9792370,67;9170787,53;8816846,71;10024554,15;9675423,70;8085025,66;9222010,60;7493901,30;8148169,46;7353768,37;7739864,47;9246097,96;11824687,13;11733307,76;10201985,14;7955139,45;9357946,29;8880836,55;9266014,59;7730597,04;11023309,47;348382580,46
"12 Acre";3576595,19;2444567,37;2602434,35;3064163,42;2276236,69;3239474,10;3126429,88;2998865,51;2619709,86;3018048,94;3342614,24;2123426,26;2664654,52;1906429,95;3096439,63;2411628,00;2840630,58;3260153,59;3250722,84;3204998,88;3052745,65;3124802,29;3021521,75;2874871,28;3331803,55;3417691,07;3076003,20;2286642,60;2896340,24;3045245,80;3915193,20;3640142,82;3391242,21;4044321,44;3276590,10;3696997,31;3715723,12;3538427,92;4077045,92;120491575,27
"13 Amazonas";13572263,03;13083081,70;14322305,22;14643340,51;14632208,09;14500521,14;14840533,42;14427620,91;15818964,25;16358462,57;15391163,74;14154362,85;16791397,31;14369987,43;16339024,96;15622910,63;16483166,92;15422243,28;15961988,04;15787896,78;16515441,67;15788848,91;15784686,14;14388606,82;16063450,73;14939977,20;15107056,74;13534657,88;19698748,89;21129394,43;19769460,14;18059931,43;17841015,63;16408315,10;19895617,91;17765167,69;21430289,17;25917134,55;22032176,22;644593420,03
"14 Roraima";2914195,21;2881281,13;2740423,51;2695484,62;2613895,43;3020718,84;2860584,22;2740088,01;2689103,41;2985029,23;2771881,20;2938769,32;2527888,58;2587642,41;1923440,17;2422446,17;2495491,03;2851291,67;3137537,40;3788154,80;3217218,61;3113940,14;3157977,67;3097113,21;3059823,80;2912519,98;2937346,43;2868820,96;2752228,26;3401864,29;3015488,30;2826486,18;2928043,91;3090313,73;3621031,05;3454460,94;3266928,47;3519773,73;3985530,08;115812256,10
"15 Pará";31591185,32;31378879,00;32909877,51;35053278,80;33973133,85;35560757,57;33465172,06;35497371,12;34896020,28;37385364,64;34294171,03;34168505,29;33849909,80;32871717,66;33130995,71;36044319,40;35906526,59;35242306,77;29460144,72;31179893,86;34175218,80;36122298,83;36874442,23;35947766,42;34365985,58;37417579,86;35610330,34;28292446,48;32998806,72;42192745,99;40804126,43;44385715,88;36820249,47;36965931,34;39004315,80;38015145,79;38354682,46;37688314,23;33276392,89;1377172026,52
"16 Amapá";1836149,63;1954823,32;1882553,32;1781034,49;1821567,42;2120412,72;1910968,09;2453555,40;2652283,29;2637161,32;2139141,93;2654304,54;2549805,60;2294126,19;2511041,32;2746817,21;2648904,75;2117098,07;2388704,49;2905190,27;2145557,83;2455947,45;2310514,38;2296699,42;2333822,65;2310195,65;1842472,54;1705873,64;2065055,35;2009912,57;3253399,45;2946398,44;2416019,23;2203732,04;2218532,26;2566919,60;2802886,34;2817849,31;3188210,98;91895642,50
"17 Tocantins";5341353,03;5361684,48;5913061,01;4617378,68;4662238,24;5664149,36;5328909,25;5473666,63;5152490,73;5272355,92;4873715,59;5321091,08;5791079,68;5881439,69;6593258,41;6684401,50;7143806,13;6136528,26;7118118,28;7607639,98;8498162,91;7181834,26;6467132,92;7210731,09;8098081,50;7024599,22;7210345,19;6391193,66;6707977,77;7424637,88;9155572,36;8390267,72;8729632,49;7770885,66;527840,46;675277,05;419553,49;319160,87;1357751,33;225499003,76
"21 Maranhão";28524888,88;26351836,62;30050918,58;31077432,22;29485732,67;29359484,98;29441181,87;30255833,42;29645428,53;29310709,37;28462327,93;29606231,79;30641772,18;27369051,19;30399681,09;30406171,44;31437580,62;30094232,34;30724404,59;31712464,35;30923188,40;32025892,76;31013878,74;29659493,42;30324868,50;30018188,06;29309892,09;25256589,20;31356916,21;34868483,11;35473489,49;32219037,29;30077152,72;33200778,47;31942670,33;30783403,58;30738750,31;30924484,99;39663677,48;1194138199,81
"22 Piauí";15727504,93;15541518,92;16408257,61;16455257,04;16646954,86;16330507,19;16393717,19;17055960,69;16152452,68;16305480,04;15869156,06;17047311,75;15882517,83;15433452,88;16189802,79;17051416,58;17792232,00;17263004,56;17460423,29;18086949,20;17769414,47;18500751,19;17748312,51;17641837,23;16229473,38;16851334,11;14568254,23;12224393,97;13182211,00;15282065,70;19908573,27;25663537,49;20230782,72;22389215,72;18911604,50;20883972,79;22689390,32;19400269,01;20018325,75;681187597,45
"23 Ceará";48012434,52;45500460,48;48132921,00;48061986,29;48954862,10;47404127,98;49250389,91;50528833,27;46519835,66;48461986,08;47851900,31;45277060,12;49469464,64;47565552,04;48209418,30;49676998,37;52622124,54;50899685,24;52995900,80;52448675,67;51139884,41;51554343,17;50519641,21;50835606,88;50630584,39;50725074,22;47009985,82;45048541,70;46430634,71;54991440,03;56019506,33;61719491,69;56625919,77;59074596,33;56916499,66;50849353,22;52078218,88;53171253,41;62079618,54;1985264811,69
