 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação e Ano/mês processamento
Período:Jan/2018-Mar/2021
"Unidade da Federação";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"11 Rondônia";9446;9930;10315;10290;10537;10158;9965;10379;9494;10422;9498;9444;9708;9623;9899;10939;11252;10380;10646;10202;10244;10013;10283;9711;11116;9300;9552;7674;7530;6849;8353;8473;8907;8165;9058;8130;8065;6463;6431;366844
"12 Acre";4600;3225;3339;4237;3309;3961;3941;3982;3698;3973;3766;2580;3284;2899;3797;3037;3658;4213;4402;4033;3889;4255;3632;3464;3782;4086;3743;2943;3104;3171;3479;3774;3454;4225;3612;3698;3915;3483;3969;143612
"13 Amazonas";15074;14365;15120;15446;15705;15410;15802;15657;15803;16095;15196;15117;17444;15345;16796;16052;17051;15779;17043;16103;16964;16725;16206;15284;16411;15479;16265;13093;14317;14972;15054;14244;15290;15429;15085;13885;14517;17265;15855;608743
"14 Roraima";3717;3776;3567;3461;3504;3661;3661;3739;3471;3901;3696;3591;3274;3086;2871;3172;3033;3591;4324;4881;4366;4288;4019;3767;3679;3775;3576;3132;2916;2846;2899;3263;3063;3481;3435;3496;3157;3304;3278;137717
"15 Pará";39487;39306;40553;41899;41519;41406;40710;41713;42521;44184;41147;39475;38268;39379;40493;41863;42449;41512;37799;38526;41093;41973;41094;40501;39529;40926;39504;30762;29909;32102;33340;38719;36072;37057;38147;36941;36537;34126;27721;1510262
"16 Amapá";2646;2842;3018;2723;2504;3233;2897;3506;3693;3921;3438;3591;3640;3463;3468;3468;3543;3186;3427;3546;3334;3330;3336;3135;3119;3213;2420;2017;2118;2350;3010;3072;2945;2367;2398;2944;2872;3313;3360;120406
"17 Tocantins";5976;5526;6335;5166;5851;6254;5783;5917;5388;5357;5249;5209;5698;6112;6142;6428;6849;6166;7066;7477;8342;7301;6442;7136;7522;6861;6890;6247;6330;6061;6734;6305;6108;6191;454;447;370;404;845;216939
"21 Maranhão";39286;36070;39267;40613;40561;39112;39301;39636;38514;38976;38114;37449;38854;35982;39279;39770;40580;38222;38618;38515;38580;39126;37712;36235;37925;36391;35227;28281;29417;28759;30917;31644;31757;33843;32776;30604;31135;29455;28672;1405175
"22 Piauí";17709;17109;18425;18292;18548;18524;18206;18546;17961;17932;17380;18135;17601;16879;17792;17815;18614;18485;18385;18727;18755;19342;18528;18264;17806;17500;15867;12305;12989;13545;14350;14988;14597;15954;15211;15470;17552;14690;14300;663078
"23 Ceará";40489;38241;42387;43074;43237;42104;42936;43485;40642;42717;40884;39267;44226;41837;43445;44243;45516;43746;44435;44781;44277;44486;42332;42642;43203;40592;40790;34756;33947;36251;37747;36083;36024;38442;38257;35767;36707;36166;35007;1585168
