 Procedimentos hospitalares do SUS - por local de internação - Brasil
Óbitos por Unidade da Federação e Ano/mês processamento
Período:Jan/2018-Mar/2021
"Unidade da Federação";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"11 Rondônia";299;301;289;286;283;281;365;270;252;268;273;283;298;270;265;329;322;255;329;280;312;324;312;227;300;246;257;269;295;357;446;476;408;293;266;360;435;333;559;12273
"12 Acre";128;85;91;97;95;149;128;117;140;144;185;111;135;107;138;120;146;146;110;144;138;127;105;127;157;152;180;138;158;191;192;163;136;173;119;147;143;188;205;5455
"13 Amazonas";437;407;492;470;533;536;486;486;462;513;467;496;570;494;627;532;570;457;550;519;596;543;552;490;520;595;507;629;1484;1465;916;657;673;609;715;607;1330;1616;1796;26404
"14 Roraima";111;107;78;93;103;132;123;104;126;111;110;102;114;122;52;115;109;124;171;119;139;110;131;122;105;106;107;98;177;328;177;85;107;114;135;127;190;322;287;5193
"15 Pará";930;960;1011;996;1083;1010;919;1024;984;976;889;961;972;938;974;990;1016;1083;867;881;1007;925;920;1001;931;974;945;886;1354;2218;1524;1762;1196;1019;1075;1068;1163;1230;1277;41939
"16 Amapá";54;83;80;96;105;96;84;86;77;89;91;82;116;72;110;116;108;90;85;87;75;96;96;76;97;70;59;84;187;179;216;149;80;76;63;146;110;136;205;4007
"17 Tocantins";218;173;228;168;167;155;195;213;170;178;168;130;246;264;249;220;208;211;210;220;278;224;220;217;283;252;290;231;248;283;363;333;341;299;9;14;15;4;52;7947
"21 Maranhão";947;861;874;979;980;950;885;880;798;777;813;857;1022;836;1025;903;994;1007;911;962;873;917;837;827;940;909;970;900;1826;1932;1491;1138;1051;1110;1063;858;1057;1148;1800;39908
"22 Piauí";530;507;553;562;578;518;584;463;495;495;513;464;509;522;510;617;598;587;574;567;564;531;496;537;558;503;469;434;477;566;839;918;654;713;559;578;675;665;697;22179
"23 Ceará";1414;1537;1682;1709;1681;1648;1541;1661;1578;1588;1555;1484;1673;1495;1620;1754;1803;1720;1719;1734;1617;1670;1607;1692;1740;1572;1621;1603;2449;2678;2217;2273;1844;2001;1784;1658;1737;1765;2323;68447
